Codigo;CodTipo;Tipo;coordenadas
181;1;Cajeros Automáticos;-79.841557,-2.168154
182;1;Cajeros Automáticos;-79.852105,-2.168986
183;1;Cajeros Automáticos;-79.840859,-2.168542
184;1;Cajeros Automáticos;-79.789497,-2.166183
185;1;Cajeros Automáticos;-79.811293,-2.179167
186;1;Cajeros Automáticos;-79.842259,-2.162144
187;1;Cajeros Automáticos;-79.890432,-2.137387
188;1;Cajeros Automáticos;-79.905887,-2.132891
189;1;Cajeros Automáticos;-79.883506,-2.148013
190;1;Cajeros Automáticos;-79.897519,-2.126079
191;1;Cajeros Automáticos;-79.879053,-2.14274
192;1;Cajeros Automáticos;-79.88525,-2.144441
193;1;Cajeros Automáticos;-79.879053,-2.14274
194;1;Cajeros Automáticos;-79.884489,-2.148763
195;1;Cajeros Automáticos;-79.880401,-2.140092
196;1;Cajeros Automáticos;-79.893699,-2.121328
197;1;Cajeros Automáticos;-79.887193,-2.135029
198;1;Cajeros Automáticos;-79.892744,-2.128011
199;1;Cajeros Automáticos;-79.878318,-2.152708
200;1;Cajeros Automáticos;-79.898148,-2.169064
201;1;Cajeros Automáticos;-79.891644,-2.163242
202;1;Cajeros Automáticos;-79.895808,-2.164651
203;1;Cajeros Automáticos;-79.896105,-2.167846
204;1;Cajeros Automáticos;-79.896488,-2.16391
205;1;Cajeros Automáticos;-79.898277,-2.228718
206;1;Cajeros Automáticos;-79.898526,-2.229907
207;1;Cajeros Automáticos;-79.898366,-2.228314
208;1;Cajeros Automáticos;-79.897939,-2.225544
209;1;Cajeros Automáticos;-79.899257,-2.249339
210;1;Cajeros Automáticos;-79.934271,-2.203329
211;1;Cajeros Automáticos;-79.883155,-2.251499
212;1;Cajeros Automáticos;-79.904563,-2.22239
213;1;Cajeros Automáticos;-79.899491,-2.218444
214;1;Cajeros Automáticos;-79.909765,-2.218858
215;1;Cajeros Automáticos;-79.904832,-2.225347
216;1;Cajeros Automáticos;-79.906132,-2.229594
217;1;Cajeros Automáticos;-79.898526,-2.229907
218;1;Cajeros Automáticos;-79.95025,-2.058861
219;1;Cajeros Automáticos;-79.934868,-2.129053
220;1;Cajeros Automáticos;-79.95348,-2.104595
221;1;Cajeros Automáticos;-79.927794,-2.100513
222;1;Cajeros Automáticos;-79.953015,-2.064303
223;1;Cajeros Automáticos;-79.950152,-2.119319
224;1;Cajeros Automáticos;-79.940038,-2.073984
225;1;Cajeros Automáticos;-79.941165,-2.070352
226;1;Cajeros Automáticos;-79.950412,-2.088651
227;1;Cajeros Automáticos;-79.949096,-2.130009
228;1;Cajeros Automáticos;-79.934384,-2.10494
229;1;Cajeros Automáticos;-79.937166,-2.094215
230;1;Cajeros Automáticos;-79.935342,-2.098837
231;1;Cajeros Automáticos;-79.936166,-2.100479
232;1;Cajeros Automáticos;-79.962377,-2.008881
233;1;Cajeros Automáticos;-79.947682,-2.11642
234;1;Cajeros Automáticos;-79.936518,-2.098181
235;1;Cajeros Automáticos;-79.937437,-2.099395
236;1;Cajeros Automáticos;-79.936636,-2.099025
237;1;Cajeros Automáticos;-79.937166,-2.094215
238;1;Cajeros Automáticos;-79.932224,-2.121542
239;1;Cajeros Automáticos;-79.944003,-2.064467
240;1;Cajeros Automáticos;-79.936923,-2.095706
241;1;Cajeros Automáticos;-79.969866,-1.995313
242;1;Cajeros Automáticos;-79.932383,-2.068242
243;1;Cajeros Automáticos;-79.932687,-2.119264
244;1;Cajeros Automáticos;-79.863035,-2.144276
245;1;Cajeros Automáticos;-79.86434,-2.145866
246;1;Cajeros Automáticos;-79.865341,-2.148863
247;1;Cajeros Automáticos;-79.864105,-2.143624
248;1;Cajeros Automáticos;-79.916673,-2.168763
249;1;Cajeros Automáticos;-79.916434,-2.168734
250;1;Cajeros Automáticos;-79.907174,-2.178769
251;1;Cajeros Automáticos;-79.916862,-2.170856
252;1;Cajeros Automáticos;-79.928208,-2.158707
253;1;Cajeros Automáticos;-79.928014,-2.159425
254;1;Cajeros Automáticos;-79.932702,-2.152034
255;1;Cajeros Automáticos;-79.933573,-2.114834
256;1;Cajeros Automáticos;-79.887521,-2.157295
257;1;Cajeros Automáticos;-79.885659,-2.190429
258;1;Cajeros Automáticos;-79.885659,-2.190429
259;1;Cajeros Automáticos;-79.939494,-2.232237
260;1;Cajeros Automáticos;-79.914541,-2.202004
261;1;Cajeros Automáticos;-79.902779,-2.199872
262;1;Cajeros Automáticos;-79.907271,-2.210295
263;1;Cajeros Automáticos;-79.939658,-2.173613
264;1;Cajeros Automáticos;-79.937923,-2.194029
265;1;Cajeros Automáticos;-79.942275,-2.176627
266;1;Cajeros Automáticos;-79.94394,-2.176353
267;1;Cajeros Automáticos;-79.923795,-2.165126
268;1;Cajeros Automáticos;-79.943206,-2.151856
269;1;Cajeros Automáticos;-79.976732,-2.183654
270;1;Cajeros Automáticos;-79.94394,-2.176353
271;1;Cajeros Automáticos;-79.94508,-2.178718
272;1;Cajeros Automáticos;-79.939263,-2.192038
273;1;Cajeros Automáticos;-79.864318,-2.141858
274;1;Cajeros Automáticos;-79.890267,-2.050275
275;1;Cajeros Automáticos;-79.864318,-2.141858
276;1;Cajeros Automáticos;-79.914559,-2.052238
277;1;Cajeros Automáticos;-79.864318,-2.141858
278;1;Cajeros Automáticos;-79.883176,-2.051271
279;1;Cajeros Automáticos;-79.872203,-2.111378
280;1;Cajeros Automáticos;-79.873881,-2.054138
281;1;Cajeros Automáticos;-79.846392,-2.073651
282;1;Cajeros Automáticos;-79.864783,-2.141776
283;1;Cajeros Automáticos;-79.888198,-2.141813
284;1;Cajeros Automáticos;-79.922718,-2.091017
285;1;Cajeros Automáticos;-79.891921,-2.134997
286;1;Cajeros Automáticos;-79.890015,-2.121954
287;1;Cajeros Automáticos;-79.8970524,-2.078708
288;1;Cajeros Automáticos;-79.900618,-2.120648
289;1;Cajeros Automáticos;-79.906888,-2.113687
290;1;Cajeros Automáticos;-79.900532,-2.127011
291;1;Cajeros Automáticos;-79.894271,-2.125141
292;1;Cajeros Automáticos;-79.898906,-2.114559
293;1;Cajeros Automáticos;-79.893448,-2.143984
294;1;Cajeros Automáticos;-79.886617,-2.20738
295;1;Cajeros Automáticos;-79.909032,-2.140277
296;1;Cajeros Automáticos;-79.909286,-2.140271
297;1;Cajeros Automáticos;-79.909286,-2.140271
298;1;Cajeros Automáticos;-79.89411,-2.242111
299;1;Cajeros Automáticos;-79.895255,-2.241068
300;1;Cajeros Automáticos;-79.895255,-2.241068
301;1;Cajeros Automáticos;-79.889045,-2.25856
302;1;Cajeros Automáticos;-79.884896,-2.251339
303;1;Cajeros Automáticos;-79.878429,-2.261743
304;1;Cajeros Automáticos;-79.889779,-2.229996
305;1;Cajeros Automáticos;-79.890644,-2.23663
306;1;Cajeros Automáticos;-79.87354,-2.261619
307;1;Cajeros Automáticos;-79.891488,-2.242275
308;1;Cajeros Automáticos;-79.903343,-2.091957
309;1;Cajeros Automáticos;-79.917999,-2.098307
310;1;Cajeros Automáticos;-79.915744,-2.082094
311;1;Cajeros Automáticos;-79.948391,-2.110262
312;1;Cajeros Automáticos;-79.94911,-2.109187
313;1;Cajeros Automáticos;-79.947865,-2.118338
314;1;Cajeros Automáticos;-79.870006,-2.037774
315;1;Cajeros Automáticos;-79.920796,-2.057091
316;1;Cajeros Automáticos;-79.922718,-2.091017
317;1;Cajeros Automáticos;-79.910158,-2.065791
318;1;Cajeros Automáticos;-79.911705,-2.092905
319;1;Cajeros Automáticos;-79.954323,-2.104791
320;1;Cajeros Automáticos;-79.906881,-2.127692
321;1;Cajeros Automáticos;-79.906749,-2.128252
322;1;Cajeros Automáticos;-79.89186,-2.180967
323;1;Cajeros Automáticos;-79.934271,-2.115245
324;1;Cajeros Automáticos;-79.907381,-1.370388
325;1;Cajeros Automáticos;-79.825559,-2.177395
326;1;Cajeros Automáticos;-79.826262,-2.212393
327;1;Cajeros Automáticos;-79.805147,-2.175233
328;1;Cajeros Automáticos;-79.995447,-2.181622
329;1;Cajeros Automáticos;-79.914101,-2.050254
330;1;Cajeros Automáticos;-79.912419,-2.028135
331;1;Cajeros Automáticos;-79.874824,-2.054305
332;1;Cajeros Automáticos;-79.872966,-2.072701
333;1;Cajeros Automáticos;-79.593017,-2.128739
334;1;Cajeros Automáticos;-79.696278,-2.093908
335;1;Cajeros Automáticos;-79.59832,-2.127782
336;1;Cajeros Automáticos;-79.592462,-2.128717
337;1;Cajeros Automáticos;-79.587394,-2.126026
338;1;Cajeros Automáticos;-79.591354,-2.139224
339;1;Cajeros Automáticos;-79.590621,-2.127839
340;1;Cajeros Automáticos;-79.596819,-2.136735
341;1;Cajeros Automáticos;-79.603694,-2.135769
342;1;Cajeros Automáticos;-79.353706,-0.95331
